id,text,urgency,disaster_type,location_mentioned
172,"Watching hurricane coverage from the safety of my couch in Denver. Can't imagine what those folks in Ft. Myers are going through. Stay safe 🙏 #HurricaneIan",Low,Hurricane,Fort Myers
173,"10 years ago today SuperStorm Sandy devastated the Jersey Shore and NYC. Never forget the resilience of those communities. #Sandy10Years #NeverForget 🗽",Low,Flood,New York City
174,"PSA: If you live near wildfire country make sure your homeowner's insurance covers fire damage. Many policies have gaps. Check yours today! #WildfireInsurance",Low,Wildfire,United States
175,"My geology professor explained the Cascadia Subduction Zone today. A 9.0 earthquake is overdue in the PNW. Terrifying and fascinating. #CascadiaQuake #Geology 🌊",Low,Earthquake,Pacific Northwest
176,"Beautiful sunset tonight in Galveston. Hard to believe a hurricane came through here just 2 weeks ago. The sky is healing even if the town isn't yet. #GalvestonStrong 🌅",Low,Hurricane,Galveston
177,"Sharing this GoFundMe for a family in Waverly TN who lost everything in the flood. They're good people who need help. Link in comments. #WaverlyFlood #GoFundMe",Low,Flood,Waverly
178,"Hot take: we should be doing WAY more controlled burns like Indigenous communities did for centuries. Would prevent these mega fires. #FireManagement #IndigenousWisdom 🔥",Low,Wildfire,United States
179,"Earthquake kit checklist I made for my family: water for 3 days + first aid + flashlight + radio + whistle + dust mask + wrench for gas shutoff. What am I missing? #EarthquakePrep",Low,Earthquake,United States
180,"Watching the Weather Channel hurricane tracker obsessively. This is my Super Bowl. Anyone else? 😂🌀 #WeatherNerd #HurricaneSeason",Low,Hurricane,United States
181,"The flooding in Vermont last summer was historic. Glad to see Montpelier rebuilding but it's going to take years. Support local businesses there if you can! #VTStrong",Low,Flood,Montpelier
182,"New study shows wildfire smoke exposure linked to long-term respiratory issues. Not just a fire season problem — it's a public health crisis. #WildfireSmoke #PublicHealth",Low,Wildfire,United States
183,"Interesting thread on Twitter about how animals behave before earthquakes. My dog definitely acts weird before tremors in LA. Anyone else notice this? #EarthquakeDogs 🐕",Low,Earthquake,Los Angeles
184,"Thank you to all the first responders working through Hurricane Ian in Florida. You are heroes. Full stop. 🙏🇺🇸 #FirstResponders #HurricaneIan",Low,Hurricane,Florida
185,"Donated $100 to local flood relief in Pajaro CA. Small town that got hit hard when the levee broke. They need all the help they can get. #PajaroFlood",Low,Flood,Pajaro
186,"Time-lapse video of the Bootleg Fire in Oregon is terrifying. 400,000 acres — larger than some states' total forest. Climate change is here. #BootlegFire #OregonFires",Low,Wildfire,Oregon
187,"The earthquake early warning app actually worked today in LA! Got a 10-second heads up before the shaking started. Download ShakeAlert if you haven't! #ShakeAlert #LAQuake 📱",Low,Earthquake,Los Angeles
188,"Neighbor's kid selling lemonade to raise money for hurricane victims in Louisiana. Humanity at its finest 🍋💛 #LouisianaStrong #KidsGiving",Low,Hurricane,Louisiana
189,"Incredible photo of the Mississippi River flooding near Memphis — it's like an inland sea. Nature doesn't care about our property lines. #MississippiFlood #Memphis",Low,Flood,Memphis
190,"Why do we keep building in fire-prone areas with no defensible space? I love California but the WUI problem is only getting worse. #WildlandUrbanInterface #CalFire",Low,Wildfire,California
191,"Just completed my CERT (Community Emergency Response Team) training in Portland. Highly recommend it. Be prepared not scared! #CERT #EmergencyPrep #Portland",Low,Earthquake,Portland
192,"Tracking Hurricane Idalia from Atlanta. Looks like it'll make landfall near Big Bend FL as a Cat 3. Praying for the panhandle region 🙏🌀 #HurricaneIdalia",Low,Hurricane,Big Bend
193,"Great article about how the Dutch manage flooding with room for the river concepts. Could we apply similar approaches in the Mississippi River basin? #FloodMitigation #WaterManagement",Low,Flood,Mississippi River Basin
194,"Smokey Bear was right all along. But also we need to let some forests burn naturally. It's complicated. 🐻🔥 #ForestManagement #WildfirePrevention",Low,Wildfire,United States
195,"Historical earthquake map of the US is fascinating. The New Madrid zone in the 1800s had quakes that rang church bells in Boston. Imagine that today. #Seismology #History",Low,Earthquake,New Madrid
196,"My friend in Sanibel Island just posted photos of her rebuilt home. 2 years after Ian and she's finally back. The resilience is inspiring 💪 #SanibelStrong #Rebuild",Low,Hurricane,Sanibel Island
197,"Thread on how levee systems create a false sense of security in flood-prone cities. Important read for anyone in Sacramento or New Orleans areas. #FloodInfrastructure",Low,Flood,Sacramento
198,"Autumn in Colorado is beautiful but fire season isn't over yet. Stay vigilant Front Range. One spark can change everything. #ColoradoFire #FrontRange 🍂🔥",Low,Wildfire,Colorado
199,"The USGS ShakeMap from the Northridge earthquake is a great teaching tool. You can see exactly how ground motion varies with distance and soil type. #Seismology #Northridge",Low,Earthquake,Northridge
200,"Another hurricane season in the books. 17 named storms. Let's hope next year is quieter but let's prepare like it won't be. #HurricaneSeason #AtlanticHurricanes 🌊",Low,Hurricane,Atlantic Coast
